MR,T/K,MCI,ωm,MW,Dexp
1.3,318.27,5.9831,1.05,193.22,1.0752
1.4,308.38,3.6749,1.33,101.61,1.1947
1.4,322.68,8.0651,1.03,191.58,1.1724
1.3,334.18,4.3875,0.93,135.86,1.228
1.5,344.25,9.2857,1.04,183.3,1.1591
1.5,344.86,5.1905,0.95,109.3,1.1854
1.2,312.87,3.986,0.9,159.48,1.2729
1.1,353.42,1.607,1.15,115.87,1.127
1.4,352.76,8.0651,1.03,191.58,1.1563
1.2,339.68,1.7208,0.94,87.6648,1.0984
1.2,313.0,3.3588,1.02,146.7,1.111
1.5,324.73,5.1905,0.95,109.3,1.1964
1.4,336.63,5.9401,1.31,145.13,1.2685
1.4,347.79,4.789,0.94,121.1,1.1996
1.1,347.66,2.1383,0.97,144.91,1.0891
1.3,313.04,6.8446,1.01,201.94,1.1798
1.2,344.21,4.7626,1.03,207.0,1.0522
1.4,340.85,2.5238,0.96,77.58,1.0939
1.4,350.54,5.7999,1.05,148.07,1.0897
1.5,322.32,8.4242,1.07,177.72,1.0557
1.1,321.37,3.542,0.99,236.27,1.0748
1.2,353.0,5.6241,0.98,218.5,1.1611
1.5,333.39,8.4242,1.07,177.72,1.0487
1.3,352.54,2.9856,1.3,103.98,1.1591
1.2,351.83,2.2963,1.25,107.78,1.1475
1.1,315.43,2.1383,0.97,144.91,1.1086
1.2,323.22,3.7,1.26,138.15,1.1189
1.4,353.47,7.2036,1.06,184.61,1.055
1.4,327.28,3.6749,1.33,101.61,1.1841
1.3,332.86,2.9856,1.3,103.98,1.1705
1.1,343.78,3.542,0.99,236.27,1.0564
1.4,320.24,3.6749,1.33,101.61,1.1879
1.5,312.28,7.0204,1.06,148.49,1.1138
1.2,313.52,1.7208,0.94,87.6648,1.1137
1.5,334.53,9.2857,1.04,183.3,1.1643
1.4,341.7,3.6749,1.33,101.61,1.1763
1.2,309.27,4.5615,1.21,179.6,1.2919
1.4,310.79,4.789,0.94,121.1,1.2212
1.3,345.51,5.9831,1.05,193.22,1.0557
1.4,331.03,8.0651,1.03,191.58,1.168
1.5,309.06,5.1905,0.95,109.3,1.2057
1.1,333.7,3.542,0.99,236.27,1.0647
1.4,354.19,2.5238,0.96,77.58,1.0862
1.4,337.77,8.0651,1.03,191.58,1.1643
1.2,308.57,1.7208,0.94,87.6648,1.1163
1.2,349.02,1.7208,0.94,87.6648,1.0929
1.5,315.73,8.4242,1.07,177.72,1.0601
1.3,327.61,4.3875,0.93,135.86,1.2318
1.5,319.47,4.3641,1.36,99.7,1.2043
1.3,311.23,5.2508,1.27,158.39,1.2871
1.5,332.47,5.7679,1.36,207.24,1.1227
1.5,318.92,9.2857,1.04,183.3,1.1728
1.1,347.96,3.0108,1.16,128.94,1.1
1.3,315.56,4.5794,1.04,147.54,1.1104
1.3,334.09,2.1223,0.96,81.46,1.0971
1.3,308.69,4.3893,1.31,149.67,1.1326
1.4,315.49,5.0786,1.34,168.09,1.1309
1.5,336.14,8.4242,1.07,177.72,1.0469
1.4,319.13,5.9401,1.31,145.13,1.2798
1.2,309.12,5.6241,0.98,218.5,1.1845
1.1,325.11,3.0108,1.16,128.94,1.1146
1.5,327.42,2.9253,0.97,74.48,1.0987
1.2,342.73,4.7626,1.03,207.0,1.0533
1.5,344.21,6.6294,1.34,134.52,1.2607
1.3,353.57,5.9831,1.05,193.22,1.0497
1.2,309.07,3.986,0.9,159.48,1.2751
1.3,312.39,3.526,0.96,127.15,1.0623
1.3,341.39,2.9856,1.3,103.98,1.1655
1.2,315.93,5.6241,0.98,218.5,1.1807
1.4,328.09,5.9401,1.31,145.13,1.2739
1.5,325.86,8.4242,1.07,177.72,1.0533
1.4,323.43,5.7999,1.05,148.07,1.1066
1.5,353.42,4.3641,1.36,99.7,1.1858
1.3,337.63,2.9856,1.3,103.98,1.1678
1.5,330.26,8.4242,1.07,177.72,1.0507
1.4,322.69,5.9401,1.31,145.13,1.2774
1.3,326.62,5.2508,1.27,158.39,1.2771
1.4,337.04,3.6749,1.33,101.61,1.1788
1.5,309.03,4.3641,1.36,99.7,1.2098
1.3,338.74,5.2508,1.27,158.39,1.2693
1.4,348.25,8.0651,1.03,191.58,1.1587
1.5,310.57,8.4242,1.07,177.72,1.0631
1.4,317.32,5.7999,1.05,148.07,1.1101
1.2,308.2,4.7626,1.03,207.0,1.0801
1.1,314.8,3.0108,1.16,128.94,1.1211
1.3,339.11,4.5794,1.04,147.54,1.0959
1.5,352.09,5.7679,1.36,207.24,1.1084
1.5,345.52,5.7679,1.36,207.24,1.1133
1.3,343.22,4.5794,1.04,147.54,1.0934
1.5,338.16,6.6294,1.34,134.52,1.2646
1.2,339.95,3.1245,0.95,147.97,1.0308
1.5,329.86,4.3641,1.36,99.7,1.1986
1.4,315.42,3.6749,1.33,101.61,1.1905
1.1,325.19,3.542,0.99,236.27,1.0717
1.3,320.81,2.1223,0.96,81.46,1.1049
1.3,332.77,4.3893,1.31,149.67,1.1154
1.1,310.19,3.0108,1.16,128.94,1.1241
1.3,337.1,2.1223,0.96,81.46,1.0954
1.4,308.76,7.2036,1.06,184.61,1.0846
