inv_Temp,MCI,Avg Molar, omega,V/cP
0.0033585222502099076,0.087717334,148.49,7.0204,0.087
0.003131360576170346,0.060261903,99.7,4.3641,0.062
0.003340571237681643,0.291839568,115.87,1.607,0.317
0.003281378178835111,0.01753798,74.48,2.9253,0.0179
0.0032653061224489797,0.285578197,201.94,6.8446,0.299
0.0032087277394513077,0.062873997,184.61,7.2036,0.061
0.0032976092333058533,0.561015124,138.15,3.7,0.605
0.00310896937665164,0.079980808,107.78,2.2963,0.077
0.0031012560086835167,0.029309474,147.54,4.5794,0.03
0.003323915572544457,0.106826273,121.1,4.789,0.1057
0.003131360576170346,0.033089799,148.07,5.7999,0.034
0.0032159511175430134,0.055294698,127.15,3.526,0.0571
0.003340571237681643,0.386811636,191.58,8.0651,0.399
0.003331667499583542,0.096276799,177.72,8.4242,0.097
0.0032087277394513077,0.072283879,159.48,3.986,0.0635
0.0032005120819331096,0.020582566,81.46,2.1223,0.0229
0.0031620553359683794,0.019261772,87.66,1.7208,0.0209
0.0032087277394513077,0.237324525,218.5,5.6241,0.256
0.0033495226930162453,0.074504202,144.91,2.1383,0.071
0.003290014805066623,0.067255431,114.13,3.9275,0.0693
0.0033495226930162453,0.131275872,193.22,5.9831,0.132
0.0033664366268305,0.087466602,148.07,5.7999,0.088
0.003177124702144559,0.05537097,184.61,7.2036,0.053
0.003290014805066623,0.057548765,144.91,2.1383,0.055
0.0031690698779908094,0.019753742,87.66,1.7208,0.0209
0.003224246332419797,0.050349273,114.13,3.9275,0.0515
0.0031012560086835167,0.125001934,201.94,6.8446,0.134
0.0031923383878691143,0.080109036,207.0,4.7626,0.078
0.003306331625061994,0.143332615,99.7,4.3641,0.146
0.0031461381154632684,0.048607567,109.3,5.1905,0.0467
0.0031620553359683794,0.017914271,81.46,2.1223,0.0199
0.003331667499583542,0.193864896,101.61,3.6749,0.196
0.0031852205765249245,0.166033292,191.58,8.0651,0.178
0.0033573946617424877,0.120372906,184.61,7.2036,0.12
0.003272786777941417,0.054925068,146.7,3.3588,0.054
0.0033495226930162453,0.101816948,127.15,3.526,0.1049
0.0033755274261603376,0.21231878,99.7,4.3641,0.215
0.0032653061224489797,0.080101258,135.86,4.3875,0.0723
0.0032399157621901833,0.046798583,144.91,2.1383,0.045
0.003298697014679202,0.226524289,115.87,1.607,0.252
0.003131360576170346,0.044985423,135.86,4.3875,0.0382
0.003232584451268789,0.071349405,109.3,5.1905,0.0713
0.0034030968181044748,0.149905085,184.61,7.2036,0.151
0.0032159511175430134,0.023465167,87.66,1.7208,0.0239
0.0033846674564224064,0.137040192,184.61,7.2036,0.138
0.0031461381154632684,0.018199533,87.66,1.7208,0.0199
0.0033585222502099076,0.14582618,159.48,3.986,0.1405
0.0032483352281955495,0.018219055,77.58,2.5238,0.0189
0.0031012560086835167,0.029614239,148.07,5.7999,0.031
0.0031852205765249245,0.038445946,103.72,4.329,0.0393
0.0031461381154632684,0.161122055,168.09,5.0786,0.152
0.003281378178835111,0.057923596,103.72,4.329,0.0599
0.0033495226930162453,0.813553776,145.13,5.9401,0.8656
0.003131360576170346,0.03078764,144.91,2.1383,0.03
0.003123535842573794,0.116684153,207.24,5.7679,0.103
0.003306331625061994,0.132128357,207.0,4.7626,0.132
0.0031461381154632684,0.064453093,99.7,4.3641,0.067
0.003323915572544457,0.122804483,159.48,3.986,0.1163
0.003281378178835111,0.056935741,146.7,3.3588,0.056
0.003315100281783524,0.101239674,135.86,4.3875,0.0954
0.0032399157621901833,0.1171688,101.61,3.6749,0.118
0.0031690698779908094,0.018368102,81.46,2.1223,0.0209
0.0032976092333058533,0.103390014,193.22,5.9831,0.104
0.0031157501168406296,0.104895146,183.3,9.2857,0.115
0.003224246332419797,0.452679623,158.39,5.2508,0.4459
0.0032483352281955495,0.024609038,81.46,2.1223,0.0259
0.0031157501168406296,0.042247189,135.86,4.3875,0.036
0.0032567985670086306,0.209636699,183.3,9.2857,0.221
0.0030935808197989174,0.281031236,179.6,4.5615,0.2161
0.00310896937665164,0.040814997,121.1,4.789,0.0392
0.003306331625061994,0.508548211,149.67,4.3893,0.533
0.0033495226930162453,0.08417542,148.49,7.0204,0.084
0.0031382394476698575,0.047575879,184.61,7.2036,0.044
0.0032653061224489797,0.451075334,145.13,5.9401,0.4564
0.0033755274261603376,0.290573034,103.98,2.9856,0.293
0.0033846674564224064,0.150822462,147.97,3.1245,0.1527
0.003323915572544457,0.216577265,236.27,3.542,0.22
0.0031382394476698575,0.048893237,147.97,3.1245,0.0506
0.003224246332419797,0.091661335,207.0,4.7626,0.091
0.0031690698779908094,0.106700884,236.27,3.542,0.108
0.0033664366268305,1.064598226,128.94,3.0108,1.15
0.0031852205765249245,0.048564869,127.15,3.526,0.0496
0.0031012560086835167,0.10447813,207.24,5.7679,0.091
0.003281378178835111,0.062312028,148.49,7.0204,0.062
0.0033495226930162453,0.104427156,177.72,8.4242,0.105
0.0032159511175430134,0.28765098,149.67,4.3893,0.291
0.0032567985670086306,0.128029613,101.61,3.6749,0.129
0.0033755274261603376,1.357986881,158.39,5.2508,1.4812
0.0032087277394513077,0.086664413,99.7,4.3641,0.089
0.003323915572544457,0.075007677,148.49,7.0204,0.075
0.0033755274261603376,0.115813166,127.15,3.526,0.1171
0.003290014805066623,0.064664336,148.49,7.0204,0.064
0.0033664366268305,0.775377961,149.67,4.3893,0.822
0.0031540766440624505,0.035662548,147.54,4.5794,0.036
0.003323915572544457,0.105658515,135.86,4.3875,0.0998
0.0032005120819331096,0.131368733,115.87,1.607,0.154
0.0031852205765249245,0.057591751,109.3,5.1905,0.0565
0.003331667499583542,0.034188756,81.46,2.1223,0.0339
0.003131360576170346,0.039011295,127.15,3.526,0.0393
0.0032567985670086306,0.426674183,145.13,5.9401,0.4304
0.0033755274261603376,0.02486255,74.48,2.9253,0.0239
0.0032159511175430134,0.246395049,218.5,5.6241,0.264
0.0032483352281955495,0.105602363,99.7,4.3641,0.108
0.003131360576170346,0.20136254,145.13,5.9401,0.1874
0.0031852205765249245,0.210487046,218.5,5.6241,0.222
0.0031690698779908094,0.082191898,101.61,3.6749,0.083
0.0033585222502099076,0.077570657,144.91,2.1383,0.074
0.0034030968181044748,0.09523039,144.91,2.1383,0.092
0.0034030968181044748,0.158013768,135.86,4.3875,0.159
0.0032653061224489797,0.053949479,103.72,4.329,0.0552
0.0033664366268305,0.268501853,236.27,3.542,0.272
0.0033664366268305,0.082580158,146.7,3.3588,0.082
0.0031157501168406296,0.036680649,127.15,3.526,0.0365
0.0032483352281955495,0.287148652,168.09,5.0786,0.288
0.0034030968181044748,0.183743036,159.48,3.986,0.1834
0.0032567985670086306,0.057975617,114.13,3.9275,0.0599
0.0033495226930162453,0.247320913,103.98,2.9856,0.248
0.0031690698779908094,0.013825704,77.58,2.5238,0.0149
0.0032399157621901833,0.156034292,107.78,2.2963,0.154
0.0033846674564224064,0.373019453,107.78,2.2963,0.375
0.0033495226930162453,0.821899985,134.52,6.6294,0.8942
0.0032005120819331096,0.364608983,128.94,3.0108,0.361
0.003123535842573794,0.074085699,103.98,2.9856,0.072
0.003224246332419797,0.046911428,147.54,4.5794,0.047
0.0033755274261603376,0.510846078,207.24,5.7679,0.527
0.0031620553359683794,0.069370915,99.7,4.3641,0.072
0.0031620553359683794,0.089103183,103.98,2.9856,0.087
0.0031012560086835167,0.04631048,159.48,3.986,0.0393
0.003315100281783524,0.031965267,81.46,2.1223,0.0319
0.0031157501168406296,0.015237307,81.46,2.1223,0.0179
0.0031540766440624505,0.03725337,148.49,7.0204,0.038
0.003331667499583542,0.120756544,193.22,5.9831,0.121
0.0032399157621901833,0.098073311,207.0,4.7626,0.097
0.003139224611520954,0.040253492,127.15,3.526,0.0402
0.003290014805066623,0.089839779,135.86,4.3875,0.0833
0.0033904051534158334,0.402192952,115.87,1.607,0.422
0.0033846674564224064,0.025756418,74.48,2.9253,0.0249
0.003331667499583542,0.225065751,236.27,3.542,0.228
0.0031012560086835167,0.028245609,146.7,3.3588,0.028
0.003281378178835111,0.503367018,134.52,6.6294,0.5961
0.0033755274261603376,0.974730286,138.15,3.7,1.045
0.003315100281783524,0.201463999,103.98,2.9856,0.2
0.0031540766440624505,0.085708865,103.98,2.9856,0.084
0.0032087277394513077,0.137170388,115.87,1.607,0.16
