MR,T/K,MCI,ωm,MW,Dexp
1.1,345.59,3.542,0.99,236.27,1.0549
1.2,308.38,2.2963,1.25,107.78,1.1702
1.3,334.41,3.526,0.96,127.15,1.0393
1.2,351.23,4.5615,1.21,179.6,1.2645
1.4,328.84,3.9275,0.97,114.13,1.0476
1.5,313.38,8.4242,1.07,177.72,1.0612
1.4,345.6,8.0651,1.03,191.58,1.1602
1.4,352.89,5.0786,1.34,168.09,1.1044
1.5,308.95,8.4242,1.07,177.72,1.0642
1.4,317.85,2.5238,0.96,77.58,1.1074
1.3,318.97,5.2508,1.27,158.39,1.2821
1.3,352.89,4.3875,0.93,135.86,1.2171
1.2,326.37,3.7,1.26,138.15,1.1168
1.2,310.88,3.986,0.9,159.48,1.2741
1.5,339.59,2.9253,0.97,74.48,1.0916
1.3,341.57,3.526,0.96,127.15,1.0311
1.1,341.72,3.542,0.99,236.27,1.0583
1.2,319.27,5.6241,0.98,218.5,1.1788
1.4,335.44,7.2036,1.06,184.61,1.0674
1.2,326.24,5.6241,0.98,218.5,1.1752
1.2,342.62,4.5615,1.21,179.6,1.2701
1.4,319.84,5.0786,1.34,168.09,1.1279
1.3,342.19,4.3893,1.31,149.67,1.1089
1.5,308.11,9.2857,1.04,183.3,1.1787
1.3,354.19,2.1223,0.96,81.46,1.0861
1.5,315.93,9.2857,1.04,183.3,1.1745
1.5,353.64,2.9253,0.97,74.48,1.0836
1.4,344.08,2.5238,0.96,77.58,1.0921
1.2,347.63,3.3588,1.02,146.7,1.0898
1.5,339.19,9.2857,1.04,183.3,1.1617
1.3,335.31,6.8446,1.01,201.94,1.1682
1.3,344.21,6.8446,1.01,201.94,1.1633
1.2,313.47,2.2963,1.25,107.78,1.1676
1.5,335.02,6.6294,1.34,134.52,1.2666
1.4,316.09,2.5238,0.96,77.58,1.1085
1.3,329.34,2.1223,0.96,81.46,1.1001
1.3,325.86,4.3875,0.93,135.86,1.2328
1.3,318.78,2.9856,1.3,103.98,1.1791
1.3,336.96,4.3893,1.31,149.67,1.1125
1.4,308.4,5.0786,1.34,168.09,1.1363
1.1,318.82,2.1383,0.97,144.91,1.1065
1.5,333.72,7.0204,1.06,148.49,1.1011
1.5,319.56,8.4242,1.07,177.72,1.0576
1.4,308.95,2.5238,0.96,77.58,1.1128
1.4,308.77,3.9275,0.97,114.13,1.0691
