DES,T/K,V/cP,MCI,Avg Molar, omega
DES44,302.45,0.095,0.095309449,184.61,7.2036
DES18,314.75,0.047,0.054353157,135.86,4.3875
DES20,303.25,0.098,0.09739471,109.3,5.1905
DES20,312.45,0.0623,0.061649324,109.3,5.1905
DES14,306.25,0.056,0.056144481,148.07,5.7999
DES35,299.35,0.0787,0.075998204,103.72,4.329
DES14,300.95,0.072,0.071865675,148.07,5.7999
DES44,296.25,0.132,0.131158851,184.61,7.2036
DES20,313.25,0.0586,0.059438728,109.3,5.1905
DES23,303.95,0.7379,0.707135156,158.39,5.2508
DES37,304.75,0.535,0.503966681,138.15,3.7
DES29,307.85,0.243,0.229851697,191.58,8.0651
DES38,307.85,0.359,0.35001254,149.67,4.3893
DES8,321.65,0.067,0.069220325,103.98,2.9856
DES37,293.05,1.299,1.297661907,138.15,3.7
DES28,315.55,0.188,0.172814718,201.94,6.8446
DES23,318.55,0.2399,0.269246125,158.39,5.2508
DES7,320.95,0.081,0.082609794,107.78,2.2963
DES19,316.25,0.0488,0.05084483,121.1,4.789
DES39,303.25,0.403,0.390178378,168.09,5.0786
DES44,309.35,0.068,0.069367675,184.61,7.2036
DES37,317.05,0.231,0.234561901,138.15,3.7
DES33,312.45,0.0534,0.051781013,127.15,3.526
DES7,299.35,0.281,0.281006327,107.78,2.2963
DES34,315.55,0.0402,0.040016782,114.13,3.9275
DES39,320.95,0.128,0.137463795,168.09,5.0786
DES13,300.85,0.07,0.071366169,147.54,4.5794
DES3,307.05,0.0269,0.025418121,81.46,2.1223
DES14,304.75,0.06,0.060076218,148.07,5.7999
DES36,296.25,1.217,1.137817245,128.94,3.0108
DES44,300.15,0.107,0.106857831,184.61,7.2036
DES38,317.05,0.195,0.202037654,149.67,4.3893
DES41,318.65,0.094,0.093795158,236.27,3.542
DES19,300.15,0.1098,0.111043766,121.1,4.789
DES24,300.15,0.7559,0.713338116,145.13,5.9401
DES38,298.55,0.723,0.685897745,149.67,4.3893
DES12,313.95,0.038,0.038651474,146.7,3.3588
DES35,315.55,0.0365,0.036011106,103.72,4.329
DES9,302.45,0.168,0.16776531,101.61,3.6749
DES15,317.85,0.037,0.036142767,148.49,7.0204
DES36,314.75,0.309,0.319221551,128.94,3.0108
DES28,295.45,0.596,0.580606013,201.94,6.8446
DES34,301.65,0.0777,0.075479761,114.13,3.9275
DES7,318.65,0.089,0.092114894,107.78,2.2963
DES23,314.75,0.3132,0.336997482,158.39,5.2508
DES6,320.85,0.107,0.086385419,115.87,1.607
DES38,303.25,0.503,0.47982219,149.67,4.3893
DES39,309.35,0.259,0.261416819,168.09,5.0786
DES4,293.85,0.0319,0.032906871,77.58,2.5238
DES43,305.55,0.093,0.092622445,193.22,5.9831
DES14,297.85,0.084,0.083918783,148.07,5.7999
DES36,316.25,0.285,0.293595131,128.94,3.0108
DES4,317.05,0.0149,0.013146182,77.58,2.5238
DES39,323.25,0.112,0.122835204,168.09,5.0786
DES35,318.65,0.0318,0.031862801,103.72,4.329
DES40,297.05,0.492,0.479991085,207.24,5.7679
DES44,305.55,0.082,0.08226233,184.61,7.2036
DES39,313.95,0.188,0.199283823,168.09,5.0786
DES38,293.05,1.101,1.100841504,149.67,4.3893
DES39,299.35,0.544,0.518808158,168.09,5.0786
DES9,316.25,0.08,0.079470162,101.61,3.6749
DES33,314.75,0.0477,0.046960496,127.15,3.526
DES14,294.65,0.1,0.099398489,148.07,5.7999
DES18,294.65,0.1502,0.150487242,135.86,4.3875
DES36,320.95,0.213,0.229090042,128.94,3.0108
DES35,310.15,0.0459,0.045207394,103.72,4.329
DES19,314.75,0.0528,0.054222528,121.1,4.789
DES12,318.65,0.032,0.032345772,146.7,3.3588
DES45,313.95,0.049,0.051910698,177.72,8.4242
DES33,300.85,0.0927,0.089994168,127.15,3.526
DES17,310.95,0.0657,0.074598143,159.48,3.986
DES12,310.15,0.044,0.045056169,146.7,3.3588
DES44,303.95,0.088,0.088671367,184.61,7.2036
