iter	Passed	Remaining
0	8	8058
1	10	5360
2	13	4389
3	15	3904
4	18	3644
5	20	3451
6	23	3297
7	25	3185
8	28	3092
9	30	3010
10	33	2971
11	35	2930
12	38	2887
13	41	2892
14	43	2852
15	45	2819
16	48	2783
17	50	2756
18	53	2740
19	55	2710
20	57	2689
21	60	2671
22	62	2661
23	65	2647
24	67	2626
25	69	2608
26	71	2592
27	74	2575
28	76	2563
29	79	2560
30	81	2545
31	83	2535
32	86	2527
33	88	2515
34	90	2507
35	93	2504
36	95	2494
37	98	2488
38	100	2478
39	102	2466
40	105	2456
41	107	2448
42	109	2439
43	111	2429
44	114	2421
45	116	2411
46	118	2403
47	120	2396
48	123	2393
49	125	2387
50	128	2385
51	130	2380
52	132	2373
53	135	2365
54	137	2364
55	139	2358
56	142	2352
57	144	2346
58	146	2342
59	149	2336
60	151	2333
61	153	2327
62	156	2320
63	158	2318
64	160	2312
65	163	2307
66	165	2302
67	168	2302
68	170	2297
69	172	2290
70	174	2286
71	176	2280
72	179	2274
73	181	2269
74	183	2266
75	186	2261
76	188	2255
77	190	2249
78	192	2241
79	194	2236
80	196	2232
81	198	2225
82	200	2219
83	202	2212
84	204	2206
85	207	2201
86	209	2195
87	211	2190
88	213	2186
89	215	2180
90	217	2176
91	219	2170
92	222	2165
93	224	2161
94	226	2159
95	228	2154
96	230	2149
97	233	2144
98	235	2139
99	237	2135
100	239	2131
101	241	2128
102	243	2123
103	245	2118
104	247	2113
105	250	2109
106	252	2104
107	254	2100
108	256	2099
109	259	2096
110	261	2093
111	263	2090
112	265	2086
113	268	2083
114	270	2081
115	272	2077
116	274	2073
117	276	2069
118	279	2065
119	281	2061
120	283	2056
121	285	2055
122	287	2052
123	290	2050
124	292	2047
125	294	2045
126	297	2042
127	299	2039
128	301	2036
129	303	2034
130	306	2030
131	308	2026
132	310	2024
133	312	2020
134	314	2016
135	316	2012
136	318	2008
137	320	2004
138	322	2000
139	325	1998
140	327	1994
141	329	1990
142	331	1987
143	333	1983
144	335	1980
145	337	1975
146	340	1973
147	342	1969
148	344	1965
149	346	1962
150	348	1958
151	350	1954
152	352	1951
153	354	1948
154	356	1945
155	358	1941
156	360	1937
157	363	1934
158	365	1931
159	367	1927
160	369	1924
161	371	1921
162	373	1918
163	375	1914
164	377	1911
165	379	1907
166	381	1903
167	384	1902
168	386	1898
169	388	1894
170	390	1891
171	392	1888
172	394	1888
173	397	1884
174	399	1882
175	401	1878
176	403	1875
177	405	1872
178	407	1869
179	409	1866
180	411	1863
181	413	1860
182	416	1857
183	418	1854
184	420	1850
185	422	1847
186	424	1844
187	426	1840
188	428	1837
189	430	1836
190	433	1836
191	436	1836
192	438	1834
193	441	1833
194	444	1834
195	446	1833
196	449	1831
197	452	1830
198	454	1829
199	456	1827
200	459	1827
201	462	1826
202	464	1824
203	467	1822
204	469	1821
205	472	1821
206	475	1819
207	477	1817
208	479	1815
209	482	1813
210	484	1812
211	487	1810
212	489	1810
213	492	1808
214	495	1807
215	497	1805
216	499	1803
217	502	1802
218	505	1801
219	507	1799
220	510	1797
221	512	1795
222	514	1793
223	516	1790
224	519	1788
225	521	1785
226	523	1781
227	525	1778
228	527	1775
229	529	1772
230	531	1770
231	533	1767
232	535	1763
233	537	1761
234	540	1758
235	542	1754
236	544	1751
237	546	1748
238	548	1746
239	550	1743
240	552	1740
241	554	1737
242	556	1734
243	558	1731
244	560	1728
245	563	1725
246	565	1722
247	567	1719
248	569	1716
249	571	1713
250	573	1710
251	575	1708
252	577	1705
253	579	1702
254	581	1699
255	583	1696
256	585	1693
257	587	1690
258	590	1688
259	592	1685
260	594	1682
261	596	1679
262	598	1676
263	600	1673
264	602	1670
265	604	1668
266	606	1665
267	609	1663
268	611	1661
269	613	1658
270	615	1655
271	617	1652
272	619	1650
273	622	1648
274	624	1645
275	626	1642
276	628	1640
277	630	1637
278	632	1635
279	634	1632
280	637	1631
281	639	1629
282	642	1626
283	644	1624
284	646	1621
285	648	1619
286	650	1617
287	653	1614
288	655	1612
289	657	1610
290	660	1608
291	662	1605
292	664	1603
293	666	1601
294	669	1598
295	671	1596
296	673	1593
297	675	1591
298	677	1589
299	679	1586
300	682	1584
301	684	1581
302	686	1579
303	688	1577
304	691	1575
305	693	1572
306	695	1570
307	698	1568
308	700	1566
309	702	1563
310	704	1561
311	706	1558
312	709	1556
313	711	1554
314	713	1551
315	715	1549
316	717	1546
317	719	1544
318	722	1541
319	724	1538
320	726	1536
321	728	1534
322	731	1532
323	733	1529
324	735	1527
325	737	1524
326	739	1522
327	741	1519
328	743	1516
329	745	1514
330	747	1511
331	749	1508
332	751	1506
333	753	1503
334	756	1501
335	758	1499
336	761	1497
337	763	1495
338	765	1493
339	768	1491
340	770	1488
341	772	1486
342	774	1484
343	777	1482
344	779	1479
345	781	1477
346	784	1475
347	786	1472
348	788	1470
349	790	1467
350	792	1464
351	794	1462
352	796	1459
353	798	1457
354	800	1454
355	802	1451
356	804	1449
357	806	1446
358	808	1444
359	810	1441
360	812	1439
361	815	1436
362	817	1433
363	819	1431
364	821	1428
365	823	1425
366	825	1423
367	827	1420
368	829	1418
369	831	1416
370	833	1413
371	835	1410
372	837	1408
373	839	1405
374	841	1402
375	843	1400
376	845	1397
377	847	1395
378	849	1392
379	851	1389
380	853	1387
381	855	1384
382	858	1382
383	860	1379
384	862	1377
385	864	1374
386	866	1371
387	868	1369
388	870	1366
389	872	1364
390	874	1362
391	876	1360
392	879	1358
393	881	1356
394	884	1354
395	886	1352
396	889	1350
397	891	1348
398	894	1346
399	896	1345
400	899	1343
401	901	1341
402	903	1339
403	906	1337
404	908	1335
405	911	1333
406	913	1331
407	916	1329
408	918	1327
409	921	1325
410	923	1323
411	925	1321
412	928	1319
413	930	1317
414	933	1315
415	936	1314
416	938	1312
417	940	1310
418	943	1308
419	946	1306
420	948	1304
421	951	1302
422	953	1300
423	955	1298
424	958	1296
425	960	1294
426	963	1293
427	966	1291
428	968	1289
429	970	1287
430	973	1285
431	976	1283
432	978	1281
433	981	1279
434	983	1277
435	986	1275
436	988	1273
437	991	1271
438	993	1269
439	996	1267
440	998	1265
441	1001	1263
442	1003	1262
443	1006	1260
444	1008	1258
445	1011	1256
446	1013	1254
447	1016	1252
448	1019	1250
449	1021	1248
450	1024	1246
451	1026	1244
452	1029	1242
453	1031	1240
454	1034	1239
455	1037	1237
456	1039	1235
457	1042	1233
458	1044	1231
459	1047	1229
460	1049	1227
461	1052	1225
462	1054	1223
463	1056	1220
464	1059	1218
465	1061	1216
466	1064	1215
467	1067	1213
468	1069	1211
469	1072	1208
470	1074	1206
471	1076	1204
472	1079	1202
473	1081	1200
474	1084	1198
475	1086	1196
476	1088	1193
477	1091	1191
478	1094	1190
479	1096	1188
480	1099	1186
481	1101	1184
482	1104	1182
483	1107	1180
484	1109	1178
485	1112	1176
486	1115	1174
487	1117	1172
488	1120	1170
489	1122	1168
490	1125	1166
491	1127	1164
492	1130	1162
493	1132	1160
494	1135	1158
495	1138	1156
496	1140	1154
497	1143	1152
498	1145	1150
499	1148	1148
500	1150	1146
501	1153	1143
502	1155	1141
503	1157	1139
504	1160	1137
505	1162	1135
506	1165	1132
507	1167	1130
508	1170	1128
509	1172	1126
510	1174	1124
511	1177	1122
512	1179	1119
513	1182	1117
514	1184	1115
515	1187	1113
516	1189	1111
517	1192	1109
518	1194	1107
519	1197	1105
520	1200	1103
521	1203	1101
522	1205	1099
523	1208	1097
524	1210	1095
525	1213	1093
526	1216	1091
527	1218	1089
528	1221	1087
529	1224	1085
530	1227	1083
531	1229	1081
532	1232	1079
533	1234	1077
534	1238	1076
535	1240	1074
536	1243	1071
537	1245	1069
538	1248	1067
539	1251	1065
540	1253	1063
541	1256	1061
542	1258	1059
543	1261	1057
544	1263	1054
545	1265	1052
546	1267	1049
547	1269	1047
548	1271	1044
549	1273	1042
550	1276	1039
551	1278	1037
552	1280	1034
553	1282	1032
554	1284	1029
555	1286	1027
556	1288	1024
557	1290	1022
558	1292	1019
559	1294	1017
560	1296	1014
561	1298	1012
562	1300	1009
563	1302	1007
564	1304	1004
565	1306	1002
566	1308	999
567	1310	997
568	1312	994
569	1314	991
570	1317	989
571	1319	987
572	1321	984
573	1323	982
574	1325	979
575	1327	977
576	1329	974
577	1331	971
578	1333	969
579	1335	967
580	1338	965
581	1341	963
582	1344	961
583	1346	959
584	1348	956
