DES,HBA,HBD,MR,T/K,Dexp,MCI,Tbm,Tcm,Vcm,Pcm,ωm,MW
DES2,ChCl,EG,1.2,308.57,1.1163,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,312.56,1.1142,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,313.52,1.1137,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,317.27,1.1116,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,319.62,1.1101,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,324.5,1.1074,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,326.62,1.1063,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,329.95,1.1043,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,337.49,1.0997,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,339.68,1.0984,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,343.76,1.096,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,349.02,1.0929,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES2,ChCl,EG,1.2,353.96,1.0898,1.7208,439,610.73,290.69,59.92,0.94,87.6648
DES3,ChCl,EG,1.3,308.55,1.1123,2.1223,437,610.73,290.69,61.84,0.96,81.46
DES3,ChCl,EG,1.3,317.94,1.1067,2.1223,437,610.73,290.69,61.84,0.96,81.46
DES3,ChCl,EG,1.3,320.81,1.1049,2.1223,437,610.73,290.69,61.84,0.96,81.46
DES3,ChCl,EG,1.3,327.06,1.1014,2.1223,437,610.73,290.69,61.84,0.96,81.46
DES3,ChCl,EG,1.3,329.34,1.1001,2.1223,437,610.73,290.69,61.84,0.96,81.46
DES3,ChCl,EG,1.3,334.09,1.0971,2.1223,437,610.73,290.69,61.84,0.96,81.46
DES3,ChCl,EG,1.3,337.1,1.0954,2.1223,437,610.73,290.69,61.84,0.96,81.46
DES3,ChCl,EG,1.3,342.46,1.0925,2.1223,437,610.73,290.69,61.84,0.96,81.46
DES3,ChCl,EG,1.3,348.21,1.0896,2.1223,437,610.73,290.69,61.84,0.96,81.46
DES3,ChCl,EG,1.3,354.19,1.0861,2.1223,437,610.73,290.69,61.84,0.96,81.46
DES4,ChCl,EG,1.4,308.95,1.1128,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES4,ChCl,EG,1.4,316.09,1.1085,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES4,ChCl,EG,1.4,317.85,1.1074,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES4,ChCl,EG,1.4,323.62,1.1042,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES4,ChCl,EG,1.4,329.07,1.1008,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES4,ChCl,EG,1.4,333.25,1.0983,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES4,ChCl,EG,1.4,338.57,1.0952,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES4,ChCl,EG,1.4,340.85,1.0939,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES4,ChCl,EG,1.4,344.08,1.0921,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES4,ChCl,EG,1.4,350.64,1.0881,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES4,ChCl,EG,1.4,354.19,1.0862,2.5238,435,610.73,290.69,62.97,0.96,77.58
DES5,ChCl,EG,1.5,308.93,1.1098,2.9253,434,610.73,290.69,63.72,0.97,74.48
DES5,ChCl,EG,1.5,310.93,1.1083,2.9253,434,610.73,290.69,63.72,0.97,74.48
DES5,ChCl,EG,1.5,315.51,1.1055,2.9253,434,610.73,290.69,63.72,0.97,74.48
DES5,ChCl,EG,1.5,317.76,1.1043,2.9253,434,610.73,290.69,63.72,0.97,74.48
DES5,ChCl,EG,1.5,322.41,1.1016,2.9253,434,610.73,290.69,63.72,0.97,74.48
DES5,ChCl,EG,1.5,327.42,1.0987,2.9253,434,610.73,290.69,63.72,0.97,74.48
