,DES,T/K,V/cP,MCI,Avg Molar, omega
0,DES2,293.15,0.0489,0.051962004,87.66,1.7208
1,DES2,293.85,0.0479,0.050127309,87.66,1.7208
2,DES2,294.65,0.0459,0.048135913,87.66,1.7208
3,DES2,295.45,0.0439,0.046249881,87.66,1.7208
4,DES2,296.25,0.0429,0.044462394,87.66,1.7208
5,DES2,297.05,0.0409,0.042767148,87.66,1.7208
6,DES2,297.85,0.0399,0.041158313,87.66,1.7208
7,DES2,298.55,0.0379,0.039817213,87.66,1.7208
8,DES2,299.35,0.0369,0.038356162,87.66,1.7208
9,DES2,300.15,0.0359,0.036967042,87.66,1.7208
10,DES2,300.95,0.0349,0.035645507,87.66,1.7208
11,DES2,301.65,0.0339,0.034541422,87.66,1.7208
12,DES2,302.45,0.0329,0.033335944,87.66,1.7208
13,DES2,303.25,0.0319,0.032187185,87.66,1.7208
14,DES2,303.95,0.0309,0.031225961,87.66,1.7208
15,DES2,304.75,0.0299,0.030174876,87.66,1.7208
16,DES2,305.55,0.0289,0.029171658,87.66,1.7208
17,DES2,306.25,0.0279,0.028330993,87.66,1.7208
18,DES2,307.05,0.0279,0.027410426,87.66,1.7208
19,DES2,307.85,0.0269,0.026530471,87.66,1.7208
20,DES2,308.65,0.0259,0.025688916,87.66,1.7208
21,DES2,309.35,0.0259,0.024982426,87.66,1.7208
22,DES2,310.15,0.0249,0.024207398,87.66,1.7208
23,DES2,310.95,0.0239,0.023465167,87.66,1.7208
24,DES2,311.65,0.0239,0.022841267,87.66,1.7208
25,DES2,312.45,0.0229,0.022155988,87.66,1.7208
26,DES2,313.25,0.0229,0.021498851,87.66,1.7208
27,DES2,313.95,0.0219,0.020945813,87.66,1.7208
28,DES2,314.75,0.0219,0.020337651,87.66,1.7208
29,DES2,315.55,0.0209,0.019753742,87.66,1.7208
30,DES2,316.25,0.0209,0.019261772,87.66,1.7208
31,DES2,317.05,0.0199,0.018720158,87.66,1.7208
32,DES2,317.85,0.0199,0.018199533,87.66,1.7208
33,DES2,318.65,0.0189,0.017698887,87.66,1.7208
34,DES2,319.35,0.0189,0.017276459,87.66,1.7208
35,DES2,320.15,0.0189,0.016810746,87.66,1.7208
36,DES2,320.95,0.0184,0.016362413,87.66,1.7208
37,DES2,321.65,0.0179,0.015983744,87.66,1.7208
38,DES2,322.45,0.0174,0.015565859,87.66,1.7208
39,DES2,323.25,0.0169,0.01516315,87.66,1.7208
40,DES3,293.05,0.0459,0.048146612,81.46,2.1223
41,DES3,293.85,0.0449,0.046225785,81.46,2.1223
42,DES3,294.65,0.0429,0.044406999,81.46,2.1223
43,DES3,295.45,0.0419,0.042683622,81.46,2.1223
44,DES3,296.25,0.0399,0.041049529,81.46,2.1223
45,DES3,297.05,0.0389,0.039499056,81.46,2.1223
46,DES3,297.85,0.0379,0.038026957,81.46,2.1223
47,DES3,298.55,0.0359,0.036799336,81.46,2.1223
48,DES3,299.35,0.0349,0.035461377,81.46,2.1223
49,DES3,300.15,0.0339,0.034188756,81.46,2.1223
50,DES3,300.95,0.0329,0.032977555,81.46,2.1223
51,DES3,301.65,0.0319,0.031965267,81.46,2.1223
52,DES3,302.45,0.0309,0.030859608,81.46,2.1223
53,DES3,303.25,0.0299,0.029805564,81.46,2.1223
54,DES3,303.95,0.0299,0.028923279,81.46,2.1223
55,DES3,304.75,0.0289,0.027958177,81.46,2.1223
56,DES3,305.55,0.0279,0.02703669,81.46,2.1223
57,DES3,306.25,0.0269,0.026264253,81.46,2.1223
58,DES3,307.05,0.0269,0.025418121,81.46,2.1223
59,DES3,307.85,0.0259,0.024609038,81.46,2.1223
60,DES3,308.65,0.0249,0.023835001,81.46,2.1223
61,DES3,309.35,0.0249,0.02318499,81.46,2.1223
62,DES3,310.15,0.0239,0.022471701,81.46,2.1223
63,DES3,310.95,0.0229,0.021788379,81.46,2.1223
64,DES3,311.65,0.0229,0.021213826,81.46,2.1223
65,DES3,312.45,0.0229,0.020582566,81.46,2.1223
66,DES3,313.25,0.0219,0.019977045,81.46,2.1223
67,DES3,313.95,0.0219,0.019467305,81.46,2.1223
68,DES3,314.75,0.0209,0.018906601,81.46,2.1223
69,DES3,315.55,0.0209,0.018368102,81.46,2.1223
70,DES3,316.25,0.0199,0.017914271,81.46,2.1223
71,DES3,317.05,0.0199,0.017414515,81.46,2.1223
72,DES3,317.85,0.0189,0.016933994,81.46,2.1223
73,DES3,318.65,0.0189,0.016471787,81.46,2.1223
74,DES3,319.35,0.0189,0.016081696,81.46,2.1223
75,DES3,320.15,0.0179,0.015651528,81.46,2.1223
76,DES3,320.95,0.0179,0.015237307,81.46,2.1223
77,DES3,321.65,0.0169,0.014887366,81.46,2.1223
78,DES3,322.45,0.0169,0.014501094,81.46,2.1223
79,DES3,323.25,0.0169,0.01412876,81.46,2.1223
80,DES4,293.05,0.0329,0.034181572,77.58,2.5238
81,DES4,293.85,0.0319,0.032906871,77.58,2.5238
82,DES4,294.65,0.0309,0.03169595,77.58,2.5238
83,DES4,295.45,0.0299,0.030544893,77.58,2.5238
84,DES4,296.25,0.0289,0.029450063,77.58,2.5238
85,DES4,297.05,0.0279,0.028408087,77.58,2.5238
86,DES4,297.85,0.0269,0.027415826,77.58,2.5238
87,DES4,298.55,0.0269,0.026586081,77.58,2.5238
88,DES4,299.35,0.0259,0.025679329,77.58,2.5238
89,DES4,300.15,0.0249,0.024814431,77.58,2.5238
90,DES4,300.95,0.0239,0.023989008,77.58,2.5238
91,DES4,301.65,0.0239,0.023297394,77.58,2.5238
92,DES4,302.45,0.0229,0.022540113,77.58,2.5238
93,DES4,303.25,0.0219,0.021816307,77.58,2.5238
94,DES4,303.95,0.0219,0.021208997,77.58,2.5238
95,DES4,304.75,0.0209,0.020543124,77.58,2.5238
96,DES4,305.55,0.0209,0.019905781,77.58,2.5238
97,DES4,306.25,0.0199,0.019370319,77.58,2.5238
98,DES4,307.05,0.0199,0.018782471,77.58,2.5238
99,DES4,307.85,0.0189,0.018219055,77.58,2.5238
100,DES4,308.65,0.0189,0.017678814,77.58,2.5238
101,DES4,309.35,0.0179,0.017224183,77.58,2.5238
102,DES4,310.15,0.0179,0.016724265,77.58,2.5238
103,DES4,310.95,0.0169,0.016244313,77.58,2.5238
104,DES4,311.65,0.0169,0.015839953,77.58,2.5238
105,DES4,312.45,0.0169,0.015394814,77.58,2.5238
106,DES4,313.25,0.0159,0.014966948,77.58,2.5238
